ref	Address	note
74207:25	Starý Jičín, Jičina 11 Jičina, Starý Jičín, Nový Jičín	stojan
74207:26	Starý Jičín, Petřkovice 19, zastávka ČSAD Petřkovice, Starý Jičín, Nový Jičín	stojan
74207:27	Starý Jičín, Janovice 40, prodejna Janovice, Starý Jičín, Nový Jičín	stojan
74207:29	Starý Jičín, Dub 22 Dub, Starý Jičín, Nový Jičín	stojan
74207:3	Nový Jičín, Dvořákova 859/21 - křižovatka Nový Jičín, Nový Jičín	stojan
74207:30	Starý Jičín, Heřmanice 45 Heřmanice, Starý Jičín, Nový Jičín	stojan
74207:304	Odry, sídliště Pod lesem 846/5 Odry, Nový Jičín	stojan
74207:305	Odry, Slunečná 172/1 Odry, Nový Jičín	stojan
74207:306	Odry, 1. máje 100/7 Odry, Nový Jičín	stojan
74207:307	Odry, Kopečná 895/21, Děl. dům Odry, Nový Jičín	stojan
74207:308	Odry, Veselí 1, točna Veselí, Odry, Nový Jičín	stojan
74207:309	Odry, Dobešov 53 Dobešov, Odry, Nový Jičín	stojan
74207:31	Jeseník nad Odrou, Polouvsí 21, MŠ Polouvsí, Jeseník nad Odrou, Nový Jičín	stojan
74207:310	Odry, Vítovka 4 Vítovka, Odry, Nový Jičín	stojan
74207:311	Odry, Tošovice 3, hasič. zbrojnice Tošovice, Odry, Nový Jičín	stojan
74207:316	Luboměř 31 Luboměř, Nový Jičín	stojan
74207:317	Luboměř, Heltínov 21, bus. zastávka Heltínov, Luboměř, Nový Jičín	stojan
74207:319	Odry, Kamenka E15 Kamenka, Odry, Nový Jičín	stojan
74207:32	Jeseník nad Odrou, Polouvsí 35 Polouvsí, Jeseník nad Odrou, Nový Jičín	stojan
74207:320	Heřmanice u Oder, Véska 71 Véska, Heřmanice u Oder, Nový Jičín	stojan
74207:323	Odry, Loučky 125, Jednota Loučky, Odry, Nový Jičín	stojan
74207:324	Spálov 311, bus. zastávka Spálov, Nový Jičín	stojan
74207:327	Suchdol nad Odrou, Kletné 82 Kletné, Suchdol nad Odrou, Nový Jičín	stojan
74207:329	Fulnek, Jerlochovice 102, bus. zastávka Jerlochovice, Fulnek, Nový Jičín	stojan
74207:330	Fulnek, Stachovice 104, potraviny Stachovice, Fulnek, Nový Jičín	stojan
74207:333	Fulnek, Děrné 85, obchod Děrné, Fulnek, Nový Jičín	stojan
74207:334	Fulnek, Kostelec, u č.p. 7 Kostelec, Fulnek, Nový Jičín	stojan
74207:335	Fulnek, Pohořílky 27, motorest Pohořílky, Fulnek, Nový Jičín	stojan
74207:336	Fulnek, Jílovec 1, bus. zastávka Jílovec, Fulnek, Nový Jičín	stojan
74207:337	Fulnek, Vlkovice 105, potraviny Vlkovice, Fulnek, Nový Jičín	stojan
74207:34	Jeseník nad Odrou, Blahutovice 100 Blahutovice, Jeseník nad Odrou, Nový Jičín	stojan
74207:340	Kujavy 58, has.zbrojnice, bus.zastávka Kujavy, Nový Jičín	stojan
74207:341	Vražné 37, Partner I Vražné, Nový Jičín	stojan
74207:35	Hostašovice 114 Hostašovice, Nový Jičín	stojan
74207:36	Hostašovice 64 Hostašovice, Nový Jičín	stojan
74207:38	Starý Jičín, Vlčnov 42 Vlčnov, Starý Jičín, Nový Jičín	stojan
74207:39	Nový Jičín, Straník 92 Straník, Nový Jičín	stojan
74207:40	Jeseník nad Odrou, Hrabětice 305 Hrabětice, Jeseník nad Odrou, Nový Jičín	stojan
74207:41	Jeseník nad Odrou, Hůrka 65 Hůrka, Jeseník nad Odrou, Nový Jičín	stojan
74207:42	Bernartice nad Odrou 196 Bernartice nad Odrou, Nový Jičín	stojan
74207:43	Jeseník nad Odrou 111 Jeseník nad Odrou, Nový Jičín	stojan
74207:44	Hodslavice u č.p.275, prodejna Hodslavice, Nový Jičín	stojan
74207:48	Libhošť 222, zastávka ČSAD Libhošť, Nový Jičín	stojan
74207:49	Libhošť 148, potraviny Hanzelka Libhošť, Nový Jičín	stojan
74207:5	Nový Jičín, Riegrova 1945/9 Nový Jičín, Nový Jičín	stojan
